id, nomeOggettoFormattato, numeroNecessario, idCategoria
, Chiavi di casa, 1, 1
, Portafoglio, 1, 1
, Pettine, 1, 2
, Ciabatte, 1, 2
, Borsetta ciabatte, 1, 2
, Cotton fioc, numeroDiGiorni / 2, 2
, Pasta fissan, 1, 2
, Burro cacao, 1, 2
, Dopopuntura, 1, 2
, Spazzolino, 1, 3
, Dentifricio, 1, 3
, Filo interdentale, 1, 3
, Shampoo, 1, 4
, Bagno doccia, 1, 4
, Deodorante, 1, 4
, Asciugamano grande, 1, 4
, Asciugamano piccolo, 1, 4
, Borsetta roba onta doccia, 1, 4
, Tachipirina, numeroDiGiorni * 1, 5
, Termometro, 1, 5
, Moment, numeroDiGiorni / 2, 5
, Cerotto normale, 2, 5
, Cerotto vesciche, 2, 5
, Crema solare corpo, 1, 6
, Crema solare viso, 1, 6
, Crema scottature, 1, 6
, Mutande, numeroDiGiorni + 1, 7
, Calze, numeroDiGiorni, 7
, Borsetta roba pulita intimo, 1, 7
, Magliette, numeroDiGiorni, 8
, Canottiere, numeroDiGiorni / 4, 8
, Pantaloni, numeroDiGiorni / 3, 8
, Cintura, 1, 8
, Felpa, numeroDiGiorni / 2, 8
, Giubotto, 1, 8
, Borsetta roba pulita vestiti, 1, 8
, Borsetta roba onta vestiti, 1, 8
, Maglietta del pigiama, 1, 9
, Pantaloni del pigiama, 1, 9
, Canottiera del pigiama, 1, 9
, Scarpe/Scarponi da cammino, 1, 10
, Sacchetto scarpe/scarponi, 1, 10
, Scarpe da ginnastica, 1, 10
, Calze da camminata, numeroDiGiorni, 10
, Pantaloni da camminata, 1, 10
, Cintura pantaloni da camminata, 1, 10
, Magliette da camminata, numeroDiGiorni, 10
, Canottiere tecniche, numeroDiGiorni / 2, 10
, Maglia maniche lunghe/termina, 1, 10
, Camel bag, 1, 10
, Borraccia, 1, 10
, Occhiali da sole per camminare, 1, 10
, Scarponcini per la neve, 1, 11
, Pantaloni da neve, 1, 11
, Calze maglia, 1, 11
, Giacca da neve, 1, 11
, Maglietta termica, numeroDiGiorni / 2, 11
, Calze da neve, numeroDiGiorni, 11
, Berretto, 1, 11
, Scaldacollo, 1, 11
, Guanti da neve, 1, 11
, Magliette tecniche, numeroDiGiorni, 12
, Pantaloni da bici, 1, 12
, Calze tecniche, numeroDiGiorni, 12
, Scarpe da ginnastica, 1, 12
, Cappello/Berretto, 1, 13
, Scaldacollo, 1, 13
, Guanti, 1, 13
, Fazzoletti, numeroDiGiorni / 2, 13
, Mascherina ffp2, 1, 13
, Occhiali da sole, 1, 13
, Tappi per le orecchia, 1, 13
, Coltello, 1, 13
, Kway, 1, 14
, Borsetta kway, 1, 14
, Poncho, 1, 14
, Borsetta poncho, 1, 14
, Ombrello, 1, 14
, Costume, 2, 15
, Cuffia, 1, 15
, Telo mare, 1, 15
, Borsetta roba onta mare/piscina, 1, 15
, Carte da briscola, 1, 16
, Carte da scala 40, 1, 16
, Libro, 1, 16
, Materassino, 1, 17
, Pompa materassino, 1, 17
, Sacco a pelo, 1, 17
, Cuscino gonfiabile, 1, 17
, Maglia da festa, 1, 18
, Jeans, 1, 18
, Scarpe da festa, 1, 18
, Mentine, 1, 18
, Maglia sporcabile, 1, 19
, Pantaloni sporcabili, 1, 19
, Scarpe sporcabili, 1, 19
, Felpa sporcabile, 1, 19
, Borraccia, 1, 19
, Snack, 1, 19
, Occhiali da sole, 1, 19
, Alimentatore cellulare, 1, 20
, Cavo usb-c, 1, 20
, Cavo usb-c 3m, 1, 20
, Alimentatore orologio, 1, 20
, Cavo orologio, 1, 20
, Powerbank, 1, 20
, Cavo usb-c, 1, 20
, Auricolari, 1, 20
, Multipla, 1, 20
, Computer, 1, 21
, Alimentatore computer, 1, 21
, Mouse, 1, 21
, Occhiali anti luce blue, 1, 21
, Barrette energetiche, numeroDiGiorni * 2, 22
, Snack vari, 1, 22
, Gel energetici, numeroDiGiorni / 2, 22
, Sali minerali, numeroDiGiorni, 22
, Sacca cibo, 1, 22
, Coltello per il pane, 1, 22
, Custodia coltello per il pane, 1, 22